,AGEN,CPLP,PAGP,MDWD,TATT,PCYO,WERN,PMGM,MRCC,EQBK,LYFT,CPOP,EDTK,NTRS,BWC,VWE,IMKTA,PLMR,PT,MDXH,OXSQ,UBOH,IBRX,MYMD,OFIX,CTXR,CLOE,EDIT,HCARU,VRM,CYN,SCRMU,SCVL,BRKL,VERB,ARDS,AROW,FKWL,EBTC,TWCBU,MPRA,ARHS,HSKA,CLAY,ALRM,RNA,PRFT,CBSH,TTCF,NSTG,DGLY,ONB,MRNA,RARE,THMO,SRAD,HAFC,OHAAU,CCOI,CNDT,RPD,ECPG,GLTO,CDXC,UTAAU,PRVA,LGVC,ITIC,CERS,TENB,SYNH,DAKT,SHBI,PETV,HQY,COHR,UNAM,SDAC,UAL,VSTA,NTGR,BTCS,EA,CELU,XOS,TRST,EXLS
2020-1,1.6403506556679193,0.7287640467008212,,,1.4322662876563346,3.9126506121433047,3.8455766907574933,,,,,,,2.168147213969791,,,4.160766731518316,,,,6.805121896206646,3.188476555631834,,0.003120824937585935,2.7105262041437865,,,,,,,,7.803258286610822,2.274926408943969,,,2.8625981638848854,5.217391417022011,4.181679273477544,,,,38.184336389941215,,,,12.710997358553913,3.387396685237979,,,0.04277408662873219,1.9803088256295238,,1.2437869641907822,0.00813311677302461,,1.3335376671009755,,14.12297509853162,,,6.454372487766317,,0.9799999660915799,,,,5.650942864638137,4.265957701119864,,,1.0802974362419078,1.0906101141130473,,,3.574084085206521,1.0076115673542143,,7.923729489055829,,3.7284747474649724,,6.989637711850855,,,1.869411351878633,9.196226712502215
2020-2,1.109648838189373,0.6133280036174307,,,1.4069910908155099,3.725903654906622,3.5054645008581695,,,,,,,1.9453693750628924,,,3.5699359248875484,,,,6.03500811091913,2.9815372218752767,,0.0029016365249261602,2.2142857185538594,,,,,,,,6.508516931792896,2.09115801138466,,,2.585809810533091,6.978260825903971,3.724086740146686,,,,36.38545316825785,,,,10.478260951751093,3.0559659366258143,,,0.045265778573048504,1.7572975048586668,,1.3273373214450814,0.006461039181223508,,1.2368126940843152,,14.537128856323744,,,7.064638446852603,,0.8200000127156576,,,,5.871536980609866,5.468084978215454,,,0.9008582590408278,1.0521186437643197,,,3.1534785612695995,1.0044627842560694,,6.524364712957657,,2.735471364386613,,6.565414632622953,,,1.6171697510440437,9.38993752413426
2020-3,1.0745613207873876,0.42676429559464446,,,0.9773111375619625,3.35843368756925,3.7829804422263638,,,,,,,1.6892611182114936,,1.0,3.6088591442304487,,,,3.0145759898834044,2.2093017047278853,,0.0022284151139570713,1.755012541474525,,,,,,,,4.519623562864684,1.7006678320272632,,,2.2943816962625188,8.869564890636168,3.659013839892482,,,,21.07589302102601,,,,6.928388633739009,2.531525220555223,,,0.0352990028749003,1.4707332303819523,,1.05159764035919,0.005681818181818182,,0.8602190359981853,,16.450282300843664,,,4.444866567189616,,0.7244444423251681,,,,4.601859019133417,4.946808624639939,,,0.9114024131323568,0.7336432593946487,,,3.027084451988753,0.7950685205471554,,3.342161084691435,,3.3109784632382797,,6.487695151242801,,,1.2872413546506745,6.544654091520828
2020-4,1.1710524731464655,0.567270006144159,,,1.1233461289717595,3.0933736940568206,4.195286614978371,,,,,,,1.7720905124783344,,1.0,4.092897965270472,,,,3.2226708509254793,2.244650433254444,,0.0036113894209553396,2.221177987356406,,,,,,,,5.166652527705789,1.5393458221626104,,,2.346246038556571,11.30434720637894,3.273997047101453,,,,26.9832425098326,,,,8.907928661504101,3.076545000618301,,,0.03654485082727919,1.580006600991004,,1.4302958652112612,0.01865259696222831,,0.9569440090148457,,16.82355544855823,,,4.939163196150492,,1.1111111111111112,,,,4.813975686449821,6.542553309538398,,,0.8356062948105393,0.7505475750350762,,,3.655868115603358,0.6297572202122702,,3.133474707475039,,3.476237368755541,,7.40025979404355,,,1.4990057396764882,7.764780002924601
2020-5,1.635964476240862,0.492881343453278,,,1.0559453585551881,3.0602409794292877,4.833153554374748,,,,,,,1.7687323607220007,,1.0,4.271329094535399,,,,3.6916031518223553,2.090662139901334,,0.0035487642312955134,2.1353384554885957,,,,,,,,5.685067884843513,1.4208851625807402,,,2.4079888980938193,12.39130370840009,3.1491601916873733,,,,33.511813839749614,,,,8.705882395983494,3.2042521286823726,,,0.046511626525427396,1.5305860173521948,,1.6203550079165125,0.010000000440369092,,0.7253859292781799,,15.493058021333011,,,6.039923778580766,,1.0688888761732314,,,,4.533550510003706,6.6170210701785726,,,0.7838430340026997,0.6855493333199641,,,5.048327028345754,0.8674906068773993,,2.9703392120689913,,3.729924420942819,,7.958549844047068,,,1.4990057396764882,7.694339576921273
2020-6,1.7236839090839828,0.4910580658864953,,,1.1121126783951054,2.7680722184253184,4.551865190813792,,,,,,,1.790421913191006,,1.0,4.3174407670629105,,,,3.542563177219489,2.457996257581827,,0.0036322644841752815,2.0050125265360177,,,,,1.0,,,6.4025371887992195,1.5400560430966714,,,2.469677457189985,11.999999740849375,3.255771965971279,,,,35.508877780632986,,,1.0,9.150894627588054,3.002480334127655,,,0.13039866785957277,1.5497323367056683,,1.8513609756379439,0.009025973915881752,,0.780010653162632,,15.663136470431137,,,6.498098634577763,,1.02000003390842,,,,4.377241528296834,7.021276512098506,,,0.8041786101935198,0.7602742208219606,,,5.015401105897556,0.8753625270863062,,3.666313786948946,,3.7531186435944712,,8.55246004791779,,,1.5219686094168834,7.974843150560947
2020-7,1.3333331202206142,0.34337597106055484,,,1.0475202706226976,2.7198794923321494,4.609854592800401,,,,,,1.0,1.7680811945194452,,1.0,4.050878199687189,,,,3.547420537555061,2.731106952868697,,0.005417084131433009,1.924185401696166,,,,,1.1352128753277317,,,5.3869920767424615,1.4667202048030226,,,2.2678164724732057,22.934782607287225,2.9386691677071846,,,,36.67129258930392,,,0.9975230115266355,10.028132538043769,2.890903844718428,,,0.13039866785957277,1.5756363552549757,,1.8499409150795119,0.008766233766233766,,0.7414519993996485,,18.244638588605365,,,6.94486638588272,,1.124444431728787,,,,4.152101751174166,7.585106523963002,,,0.7709022849149212,0.6355042481738546,,,5.387148319299684,0.7871965252653377,,3.3241526012326847,1.0,4.457643917005019,,9.172279421198837,,,1.3921324617277697,8.057861521447656
2020-8,1.9122806737132387,0.37074484408626324,,,1.1177294036834324,2.9397591641963654,4.821537131214053,,,,,,1.002493703609455,1.8479664222442287,,1.0,4.065975095467637,,,,3.4626370021662574,2.572074992468229,,0.0026302604542165304,1.9010025112826066,,,,,1.3162638676026406,,,7.214838754787299,1.4841902969606162,,,2.379961363426155,21.739130040422964,2.9936301800098035,,,,39.483951445622026,,,1.0191082450037219,10.974424272498648,3.0075292356128034,,,0.09343853702179492,1.5900005203805003,,2.0132543800850593,0.006444804974620648,,0.7719438568756489,,13.762979359846954,,,8.733839663059264,,1.0999999576144748,,,,4.924731362184941,6.776595640123133,,,0.81711944743354,0.6762895820008924,,,4.726500284684193,0.8312795637122774,,3.813559491550132,0.8334217358207857,4.834550173342847,,9.033030616541158,,,1.4330066946410707,8.011320774182032
2020-9,1.7543856732843495,0.4078193382682072,,,1.3845240557489078,2.7138555451961563,4.400267798709239,,,,,,0.788029901612209,1.774826840010044,,1.0,3.8284578872275654,,,,3.246973499400727,2.9571987295240967,,0.0023484468518969294,1.9511277766427833,,,,,0.9930955002960158,,,7.368440823477577,1.337317279206976,,,2.1033194402638133,34.76086843706712,2.895817613054689,,,,37.65076888911343,,,0.9961075509744992,10.930946480883922,2.854958607251836,,,0.08887042918321947,1.4284985311725742,,1.9453255015717457,0.004707792207792208,,0.6650220960815438,,12.287641496399516,,,7.336501610911775,,0.8911111619737413,,,,4.707559685422952,6.659574728467552,,,0.732079861347102,0.7616062201028901,,,4.308019281744972,0.9446358303184053,,3.6811442314268636,0.8185676388815388,4.467791354852999,,8.44624474445078,,,1.2697675014123047,8.29811356018147
2020-10,1.6184207175398695,0.4630116739021795,,,1.1570464807017218,2.6506025203860455,3.9927794479427887,,,,,,0.7231920024543438,1.7816554330151797,,1.063783800279772,3.62437856530373,,,,3.330735022003278,2.838910814790489,,0.0019309452142225137,1.9586466262008393,,,,,0.7882623505032269,,,6.816267895736817,1.4810980438137702,,,2.2944539158491586,37.28260719004338,3.1148634219378692,,,,44.716719726297356,,,0.8750884409746807,10.01534500966449,3.157242310507441,,,0.09509966498467246,1.5900005203805003,,2.378698224852071,0.003441558496604578,,0.7282032395050451,,11.417991539955988,,,6.070341999198623,1.0,1.0022222730848525,,,,4.832795016421886,5.5851063971446075,,,0.7209877529209024,0.75050818372394,,,4.829527499196493,0.8249819224430767,,3.586864630874985,0.6132626093196594,4.467791354852999,,7.761010550417465,,,1.337877690626243,9.527043985019995
