,distance ebtda-margin and price,distance gross-profit-margin and price,distance cogs-margin and price,distance eps-earnings-per-share-diluted and price,distance all-fundamental-variables and price,price-pairs
GOOGL_ICFI,0.9347287528238057,,,,,
EFSC_TRMK,0.9346873757215,,,,,
DHIL_FBIZ,0.9345755974847885,,,,,
CBSH_FCCO,0.9338930331469114,,,,,
NFLX_PCYO,0.9333583394594572,,,,,
CBSH_PCYO,0.9333295431333809,,,,,
BRKL_EFSC,0.9333098693407663,,,,,
GOOGL_PSEC,0.9333039116553477,,,,,
PFC_UBOH,0.9330715610402973,,,,,
ITIC_PCYO,0.9330692242970864,,,,,
CIVB_HFWA,0.9330352556194889,,,,,
EA_WERN,0.9329478018293464,,,,,
CBSH_EFSC,0.9327661930257202,,,,,
CSWC_PRFT,0.9327401979029415,,,,,
ATEC_USAU,0.9325323326376572,,,,,
CHI_VICR,0.9322067343551634,,,,,
BOKF_FCCO,0.9321882317989608,,,,,
BRKL_FNLC,0.9321124261292036,,,,,
AROW_FCCO,0.9320278528404287,,,,,
ONB_TRST,0.9319103240383876,,,,,
AROW_EBTC,0.9318986272310829,,,,,
IMKTA_LKQ,0.9317975995989611,,,,,
FNLC_NTRS,0.9317871413353478,,,,,
NEPH_USAU,0.9316814994363666,,,,,
FELE_SBUX,0.931656283293064,,,,,
TRMK_TRST,0.9314351236208084,,,,,
CCOI_OFLX,0.9313524929867966,,,,,
LARK_SSB,0.931225626584408,,,,,
ESLT_WERN,0.9311305206326762,,,,,
CCOI_INTU,0.9310123520833938,,,,,
OFLX_WERN,0.9307327033369359,,,,,
ONB_SSB,0.9306882111014119,,,,,
EXLS_ICFI,0.9305866754559383,,,,,
CHI_PRFT,0.930565681464839,,,,,
FCCO_NWFL,0.9305632414343178,,,,,
AUB_BOKF,0.9304830595287796,,,,,
CSWC_EXLS,0.9304405167675491,,,,,
APTO_USAU,0.9302617439619796,,,,,
CBSH_OFLX,0.9301976086334168,,,,,
PCYO_SBUX,0.9300840887792833,,,,,
IMKTA_SLM,0.9300736090021606,,,,,
HSKA_OFLX,0.9300057189923496,,,,,
GOOGL_PLXS,0.9299925142946016,,,,,
ESLT_SBUX,0.9299451944798608,,,,,
HBNC_SSB,0.9299286383212364,,,,,
CIVB_UBOH,0.9297269321098987,,,,,
INTU_NSIT,0.9296230863457363,,,,,
BRKL_HFWA,0.9294809824874988,,,,,
ESLT_GOOGL,0.9293289374036853,,,,,
CSWC_SCVL,0.9292144366947447,,,,,
PEBO_SSB,0.9290546864864209,,,,,
CBSH_EA,0.9289648843341011,,,,,
COHR_NFLX,0.9288384066992312,,,,,
MTCH_VICR,0.928786453585725,,,,,
CBSH_UBOH,0.9286659591905297,,,,,
COHR_HSKA,0.9284853983937041,,,,,
CCOI_NFLX,0.9284705701870568,,,,,
BRKL_ONB,0.9284684809281117,,,,,
DHIL_EFSC,0.9281149493689685,,,,,
CSWC_PCYO,0.9276465240359515,,,,,
CBSH_TRMK,0.9276215128643013,,,,,
CHI_SLM,0.9274551532177022,,,,,
IMKTA_PLXS,0.9273436063131107,,,,,
EBTC_TRMK,0.9269687199778793,,,,,
AROW_EFSC,0.9267324123039711,,,,,
FELE_PRFT,0.926571285838036,,,,,
SLM_WERN,0.9265077303180447,,,,,
CGO_COHR,0.9263625841672968,,,,,
CSWC_NFLX,0.9263564910439313,,,,,
CGO_VICR,0.9260146902122264,,,,,
SSB_TRST,0.9259912716574974,,,,,
BOKF_DHIL,0.9257941336422624,,,,,
FCCO_TRST,0.9257301680799666,,,,,
CCOI_ONB,0.9252611786016076,,,,,
PLXS_SLM,0.9249498929983555,,,,,
EFSC_HFWA,0.9246956538549937,,,,,
EXLS_NSYS,0.9246033809921942,,,,,
HFWA_TRST,0.9244626619979777,,,,,
TCX_UBOH,0.9243992123333943,,,,,
ESLT_ITIC,0.9243284408939577,,,,,
CBSH_PLXS,0.9242179488434076,,,,,
BOKF_PSEC,0.924213510561663,,,,,
INTU_PLXS,0.9241918014271411,,,,,
EFSC_SSB,0.9241359956736546,,,,,
BOKF_LARK,0.9239668560711553,,,,,
EFSC_TRST,0.9238379897600941,,,,,
NTRS_PEBO,0.9233564260916821,,,,,
CCOI_NSIT,0.9233450641600841,,,,,
CBSH_PEBO,0.9232916258888546,,,,,
CIVB_TRST,0.9232199596864554,,,,,
NTRS_PCYO,0.9231603872554451,,,,,
EA_LARK,0.9229623454775354,,,,,
EA_FNLC,0.9229436802613569,,,,,
EFSC_NTRS,0.922931548185706,,,,,
CCOI_FNLC,0.9228721592010392,,,,,
IMKTA_NSYS,0.9227704442367751,,,,,
BOKF_CBSH,0.9226733541948098,,,,,
BOKF_PEBO,0.9226347726531544,,,,,
NTRS_TCX,0.9225602570754139,,,,,
ESLT_FELE,0.9224857623755762,,,,,
FCCO_TRMK,0.9223792493421036,,,,,
EFSC_HBNC,0.9223441025754939,,,,,
NSIT_WERN,0.9219973200135394,,,,,
CHI_THRM,0.921995038150117,,,,,
DHIL_FNLC,0.9218252924347632,,,,,
DHIL_LKQ,0.9218148428664276,,,,,
NSIT_PSEC,0.9217744190906413,,,,,
EA_PLXS,0.921611585846965,,,,,
ICFI_INTU,0.9216018128790782,,,,,
ICFI_PSEC,0.9212667589159902,,,,,
EXLS_GOOGL,0.9211397684081117,,,,,
ITIC_SBUX,0.9208939346107783,,,,,
ONB_UBOH,0.9207583853430759,,,,,
CGO_PCYO,0.9203998390619117,,,,,
CCOI_PEBO,0.9203567932270001,,,,,
EXLS_INTU,0.92029220701972,,,,,
CBSH_LARK,0.9202468026823565,,,,,
PFC_SSB,0.9201337349237801,,,,,
BOKF_LKQ,0.9195923795367468,,,,,
EA_NFLX,0.919524855818656,,,,,
AUB_HFWA,0.9193399808347104,,,,,
AGNC_EML,0.9193157410985408,,,,,
EA_UBOH,0.9193090154512614,,,,,
PCYO_UBOH,0.9192201507526473,,,,,
LKQ_WERN,0.9191600052954353,,,,,
FCCO_SSB,0.9191128393759086,,,,,
HBNC_ITIC,0.9191045659294498,,,,,
NFLX_WERN,0.9189696096477055,,,,,
HFWA_ONB,0.9189681639168575,,,,,
HFWA_WNEB,0.9189341584586049,,,,,
EXLS_SLM,0.9188775513079689,,,,,
HSKA_ITIC,0.9188210929175616,,,,,
SCVL_VICR,0.918779600027375,,,,,
CIVB_EA,0.9186025172768978,,,,,
NATH_SSB,0.918276042650463,,,,,
HBNC_TRMK,0.9182720581496524,,,,,
LKQ_PLXS,0.9182142806322179,,,,,
BOKF_ESLT,0.9180025337603324,,,,,
INTU_LMAT,0.9178286559831998,,,,,
GOOGL_SLM,0.9175220439528325,,,,,
CALM_FBIZ,0.917513958883722,,,,,
EFSC_NWFL,0.9174012726315812,,,,,
CHI_NSIT,0.9173546604790279,,,,,
CCOI_LARK,0.9172660976498828,,,,,
FBIZ_LKQ,0.9172224732435436,,,,,
CHI_LMAT,0.917169267697882,,,,,
OFLX_PCYO,0.916990294233585,,,,,
SCVL_THRM,0.9169284771032667,,,,,
EXLS_LKQ,0.9168448233303161,,,,,
CIVB_SSB,0.9167026644282348,,,,,
DHIL_ITIC,0.9166876297398836,,,,,
ESLT_FNLC,0.9165655378986062,,,,,
AGNC_PEBO,0.9164835955542476,,,,,
BOKF_CCOI,0.9163444605504787,,,,,
CSWC_SLM,0.9160703438371381,,,,,
AROW_TRST,0.9160341383577177,,,,,
EBTC_UBOH,0.9158898474051137,,,,,
BLKB_NATH,0.9158446348470596,,,,,
CGO_UBOH,0.9157502424952044,,,,,
PEBO_TRST,0.9157402195073964,,,,,
AUB_EA,0.9154684920888958,,,,,
ESLT_EXLS,0.9153810107944078,,,,,
SHEN_UBOH,0.9153079821754168,,,,,
LWLG_PRFT,0.9147525085130976,,,,,
CGO_MTCH,0.9146334639530213,,,,,
BLKB_FCCO,0.9145520267522479,,,,,
FNLC_PLXS,0.9144915396126021,,,,,
AEHL_USAU,0.9144300131715383,,,,,
FNLC_HBNC,0.9142952424323565,,,,,
APTO_MVIS,0.9140821851773089,,,,,
AGNC_TCX,0.9140190410143458,,,,,
EML_TCX,0.9139700951385015,,,,,
CHI_PSEC,0.9137926093928587,,,,,
CHI_ICFI,0.913525290907802,,,,,
ONB_PLXS,0.9134083281372697,,,,,
CSWC_LKQ,0.9134078078075157,,,,,
BRKL_TRST,0.9132929263216938,,,,,
MTCH_NFLX,0.913276564764521,,,,,
LARK_SBUX,0.9131681013064824,,,,,
BOKF_TRMK,0.9129750198271135,,,,,
EA_ONB,0.9129214005483332,,,,,
CGO_SBUX,0.9128585935232315,,,,,
PFC_TRST,0.9128047191587243,,,,,
SCVL_SLM,0.9127858545464981,,,,,
APTO_ATEC,0.9127470632779183,,,,,
EA_EFSC,0.9125212400272835,,,,,
PCYO_WERN,0.9123479964628533,,,,,
BOKF_PFC,0.9120531164966112,,,,,
CBSH_EBTC,0.912047033761251,,,,,
NTRS_SHBI,0.9119957357321276,,,,,
NFLX_UBOH,0.9118906199094755,,,,,
GEOS_MULN,0.9118061990527527,,,,,
CCOI_LKQ,0.9117801434466156,,,,,
GOOGL_HSKA,0.9117283733829804,,,,,
NSIT_SBUX,0.9117125441883591,,,,,
CCOI_CGO,0.9116174802696954,,,,,
FNLC_UBOH,0.9115846692966418,,,,,
HSKA_VICR,0.9115196210763185,,,,,
PSTV_THMO,0.9114813510191488,,,,,
CSWC_ITIC,0.9114000872795793,,,,,
SBUX_UBOH,0.911178672927272,,,,,
CIVB_NATH,0.911093540074449,,,,,
EFSC_ESLT,0.9109517685026332,,,,,
EA_HSKA,0.9109324081938078,,,,,
FNLC_SBUX,0.9109060104764537,,,,,
AUB_DHIL,0.9106927117646642,,,,,
FELE_NVDA,0.9106817335189339,,,,,
OFLX_UBOH,0.9106482572141853,,,,,
BOKF_WERN,0.9105988255101317,,,,,
AROW_PEBO,0.9104161560386153,,,,,
INTU_SLM,0.9101954988966886,,,,,
