stock pair,all-fundamental-variables,cogs-margin,ebtda-margin,eps-earnings-per-share-diluted
CPSS_PRAA,0.4983741412231055,0.4983741412231055,0.4983741412231055,0.4983741412231055
CPSS_OXSQ,0.4816469743975513,0.4816469743975513,0.4816469743975513,0.4816469743975513
CPSS_HSKA,0.4708943996330151,0.4708943996330151,0.4708943996330151,0.4708943996330151
BGCP_ECPG,0.4286519367159913,0.4286519367159913,0.4286519367159913,0.4286519367159913
ARWR_OXSQ,0.4228121341985197,0.4228121341985197,0.4228121341985197,0.4228121341985197
LWLG_OXSQ,0.3605910079258312,0.3605910079258312,0.3605910079258312,0.3605910079258312
ARWR_BGCP,0.3604627522873675,0.3604627522873675,0.3604627522873675,0.3604627522873675
ARWR_CPSS,0.3464466315044323,0.3464466315044323,0.3464466315044323,0.3464466315044323
OXSQ_PRAA,0.3369697725620675,0.3369697725620675,0.3369697725620675,0.3369697725620675
CGO_PRAA,0.3034335466598704,0.3034335466598704,0.3034335466598704,0.3034335466598704
CHI_PRAA,0.2831892802027784,0.2831892802027784,0.2831892802027784,0.2831892802027784
BGCP_CPSS,0.2723051509769946,0.2723051509769946,0.2723051509769946,0.2723051509769946
PALI_PRAA,0.2700902341828033,0.2700902341828033,0.2700902341828033,0.2700902341828033
DHIL_PRAA,0.2557782869221051,0.2557782869221051,0.2557782869221051,0.2557782869221051
ARWR_PRAA,0.2250324866355518,0.2250324866355518,0.2250324866355518,0.2250324866355518
BGCP_LWLG,0.1993430781929198,0.1993430781929198,0.1993430781929198,0.1993430781929198
BGCP_PRAA,0.1911639464331082,0.1911639464331082,0.1911639464331082,0.1911639464331082
APTO_MDGL,0.1907781869162471,0.1907781869162471,0.1907781869162471,0.1907781869162471
HSKA_PRAA,0.1799068946807152,0.1799068946807152,0.1799068946807152,0.1799068946807152
CSWC_PRAA,0.1731121114924145,0.1731121114924145,0.1731121114924145,0.1731121114924145
LWLG_PRAA,0.1474902831183178,0.1474902831183178,0.1474902831183178,0.1474902831183178
MDGL_PALI,0.145260432463869,0.145260432463869,0.145260432463869,0.145260432463869
CPSS_MDGL,0.1301528912447787,0.1301528912447787,0.1301528912447787,0.1301528912447787
LWLG_MDGL,0.0706296217506087,0.0706296217506087,0.0706296217506087,0.0706296217506087
ECPG_MDGL,0.0471925996348288,0.0471925996348288,0.0471925996348288,0.0471925996348288
CHI_MDGL,-0.0199199039671015,-0.0199199039671015,-0.0199199039671015,-0.0199199039671015
CSWC_MDGL,-0.0317071159146349,-0.0317071159146349,-0.0317071159146349,-0.0317071159146349
ARWR_MDGL,-0.0547362898477871,-0.0547362898477871,-0.0547362898477871,-0.0547362898477871
CPSS_PALI,-0.1307600416792797,-0.1307600416792797,-0.1307600416792797,-0.1307600416792797
ECPG_PALI,-0.1573135380252522,-0.1573135380252522,-0.1573135380252522,-0.1573135380252522
MDGL_OXSQ,-0.1633478465892407,-0.1633478465892407,-0.1633478465892407,-0.1633478465892407
CGO_MDGL,-0.1777852047091615,-0.1777852047091615,-0.1777852047091615,-0.1777852047091615
APTO_ARWR,-0.1929030845125774,-0.1929030845125774,-0.1929030845125774,-0.1929030845125774
APTO_LWLG,-0.2015574097761561,-0.2015574097761561,-0.2015574097761561,-0.2015574097761561
DHIL_MDGL,-0.2537002524332065,-0.2537002524332065,-0.2537002524332065,-0.2537002524332065
MDGL_PRAA,-0.284984510633131,-0.284984510633131,-0.284984510633131,-0.284984510633131
HSKA_MDGL,-0.3211681339438198,-0.3211681339438198,-0.3211681339438198,-0.3211681339438198
LWLG_PALI,-0.3530577309548733,-0.3530577309548733,-0.3530577309548733,-0.3530577309548733
APTO_PRAA,-0.3795953773019154,-0.3795953773019154,-0.3795953773019154,-0.3795953773019154
APTO_CPSS,-0.393398441008416,-0.393398441008416,-0.393398441008416,-0.393398441008416
APTO_CGO,-0.4080038432797931,-0.4080038432797931,-0.4080038432797931,-0.4080038432797931
APTO_CHI,-0.4155332619513126,-0.4155332619513126,-0.4155332619513126,-0.4155332619513126
APTO_ECPG,-0.4221722762123144,-0.4221722762123144,-0.4221722762123144,-0.4221722762123144
APTO_HSKA,-0.4289939546924131,-0.4289939546924131,-0.4289939546924131,-0.4289939546924131
APTO_CSWC,-0.4372354921914964,-0.4372354921914964,-0.4372354921914964,-0.4372354921914964
APTO_BGCP,-0.5199716600675109,-0.5199716600675109,-0.5199716600675109,-0.5199716600675109
BGCP_MDGL,-0.524418426664421,-0.524418426664421,-0.524418426664421,-0.524418426664421
ARWR_PALI,-0.5281546769914733,-0.5281546769914733,-0.5281546769914733,-0.5281546769914733
OXSQ_PALI,-0.5459130143244088,-0.5459130143244088,-0.5459130143244088,-0.5459130143244088
APTO_DHIL,-0.6157269564461498,-0.6157269564461498,-0.6157269564461498,-0.6157269564461498
CHI_PALI,-0.6203200541492214,-0.6203200541492214,-0.6203200541492214,-0.6203200541492214
BGCP_PALI,-0.6420789489617073,-0.6420789489617073,-0.6420789489617073,-0.6420789489617073
CGO_PALI,-0.6554337096793114,-0.6554337096793114,-0.6554337096793114,-0.6554337096793114
APTO_OXSQ,-0.6717094615175143,-0.6717094615175143,-0.6717094615175143,-0.6717094615175143
CSWC_PALI,-0.6737878491570132,-0.6737878491570132,-0.6737878491570132,-0.6737878491570132
DHIL_PALI,-0.6804794470258746,-0.6804794470258746,-0.6804794470258746,-0.6804794470258746
HSKA_PALI,-0.7589526313902698,-0.7589526313902698,-0.7589526313902698,-0.7589526313902698
GOOGL_INTU,,,0.9905781757727632,
AUB_ONB,,,0.9905652635039136,
CIVB_FCCO,,,0.9849323683341296,
CIVB_PFC,,,0.984857166112148,
EFSC_FCCO,,,0.9840579650207334,
ESLT_LMAT,,,0.9837326839098898,
CIVB_EFSC,,,0.982316602373463,
AROW_TRMK,,,0.9820647019514686,
CSWC_GOOGL,,,0.9806518872565742,
CCOI_SBUX,,,0.9803111556046552,
EFSC_FNLC,,,0.9801422171046956,
CHI_INTU,,,0.9792773482645644,
AUB_CIVB,,,0.9783986523027564,
CSWC_ICFI,,,0.9778509323631488,
AUB_PFC,,,0.9778472924313928,
AROW_BRKL,,,0.9767619731570468,
AEHL_PSTV,,,0.9764153938202846,
CCOI_CSWC,,,0.9755833063789294,
FELE_NSIT,,,0.975440820580158,
CHI_WERN,,,0.9746313487650105,
CIVB_FNLC,,,0.9745673532978538,
CBSH_ONB,,,0.974410753063437,
NTRS_UBOH,,,0.974179845203081,
ESLT_ICFI,,,0.9738143400343424,
AROW_PFC,,,0.9735781948482292,
LMAT_NSIT,,,0.9734737501014108,
CSWC_FELE,,,0.9734133347468912,
FNLC_ONB,,,0.9732128409642268,
AUB_EFSC,,,0.9731253971863864,
FCCO_PFC,,,0.9730607760136636,
ICFI_PLXS,,,0.9725804542813687,
HBNC_PFC,,,0.9725186358632184,
CHI_GOOGL,,,0.971724913881413,
NTRS_PFC,,,0.9716944847944816,
INTU_PRFT,,,0.97074410939022,
CIVB_ONB,,,0.9706132491221852,
AUB_FCCO,,,0.9705908920926106,
HSKA_NFLX,,,0.9705904266965368,
ICFI_NSIT,,,0.9703749106623948,
CSWC_INTU,,,0.969790910662326,
ONB_PFC,,,0.9694860010610163,
BGCP_BLKB,,,0.9686633957191167,
